"№","Объект","Модель УС","Адрес","№ ВСП","IP-адресс","Маска","Шлюз","Оборудование ТСВ","Комментарий","Статус","Статус Шлюза","Последняя связь"
"1","---","---","---","---","---","---","---","---","---","---","---","---"
"2","---","---","---","---","---","---","---","---","---","---","---","---"
"3","60005985","---","---","---","---","---","---","sdr-400b","свободен","---","---","---"
"4","zal_1","---","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.198","255.255.255.224","10.186.13.193","4516","---","DOWN","DOWN","23.04.08.20"
"5","zal_2","---","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.199","255.255.255.224","10.186.13.193","4516","---","UP","UP","23.04.08.20"
"6","zal_3","---","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.200","255.255.255.224","10.186.13.193","4516","---","DOWN","DOWN","23.04.08.20"
"7","zal_4","---","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.201","255.255.255.224","10.186.13.193","4509","---","UP","UP","23.04.08.20"
"8","zal_5","---","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.202","255.255.255.224","10.186.13.193","4516","---","UP","UP","23.04.08.20"
"9","36022","Dors","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.209","255.255.255.224","10.186.13.193","304","---","DOWN","UP","23.04.08.20"
"10","36023","Dors","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.210","255.255.255.224","10.186.13.193","304","---","UP","UP","23.04.08.20"
"11","68177","Dors","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.212","255.255.255.224","10.186.13.193","304","---","UP","UP","23.04.08.20"
"12","35294","NCR 6634","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.205","255.255.255.224","10.186.13.193","308","---","UP","UP","23.04.08.20"
"13","35291","NCR 6632","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.206","255.255.255.224","10.186.13.193","304","---","UP","UP","23.04.08.20"
"14","42632","NCR 6625","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.208","255.255.255.224","10.186.13.193","304","---","UP","UP","23.04.08.20"
"15","60000242","MX-8600","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.204","255.255.255.224","10.186.13.193","SDR-400ATM","---","DOWN","UP","---"
"16","60004354","MX-8600","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.204","255.255.255.224","10.186.13.193","SDR-400ATM","---","DOWN","UP","---"
"17","ЗСО","к. 103","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.213","255.255.255.224","10.186.13.193","IP cam","AXIS 3014","DOWN","UP","---"
"18","ЗАЛ","---","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.214","255.255.255.224","10.186.13.193","IP cam","AXIS 3014","UP","UP","23.04.08.20"
"19","ЗАЛ","---","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.215","255.255.255.224","10.186.13.193","IP cam","AXIS 3014","UP","UP","23.04.08.21"
"20","ХЦК","---","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.218","255.255.255.224","10.186.13.193","Macroscop","---","UP","UP","23.04.08.21"
"21","Macroscop  ИНКАС + ЗСО","---","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.217","255.255.255.224","10.186.13.193","Macroscop Инкас","---","UP","UP","23.04.08.21"
"22","С2000","---","Саратов, Чапаева улица, 19/27","8622/0001","10.186.13.221","255.255.255.224","10.186.13.193","С2000","---","UP","UP","23.04.08.21"
